fir_number,crime_type,incident_date,incident_time,district,police_station,severity,status,latitude,longitude,description,modus_operandi
FIR000552,Assault,2025-06-01,17:02,Uttara Kannada,Main Police Station,MEDIUM,COLD,14.7693,74.1473,Assault reported at Electronic City Phase 1. Weapon attack.,Weapon attack
FIR000553,Fraud,2025-06-30,12:19,Yadgiri,Shorapur,HIGH,CLOSED,16.7838,77.1812,Fraud reported at Rajajinagar. Credit card fraud.,Credit card fraud
FIR000554,Murder,2025-07-01,06:53,Ballari,Hospet,HIGH,CLOSED,15.1247,76.8896,Murder reported at BTM Layout Stage 2. Firearm.,Firearm
FIR000555,Burglary,2025-07-02,20:35,Bidar,Bhalki,LOW,PENDING,17.8716,77.557,Burglary reported at HSR Layout Sector 3. Forceful entry.,Forceful entry
FIR000556,Burglary,2025-07-03,11:01,Mysuru,Krishnaraja,CRITICAL,CLOSED,12.2643,76.6278,Burglary reported at Sadashivanagar. Disguised entry.,Disguised entry
FIR000557,Chain Snatching,2025-07-04,07:02,Mandya,Nagamangala,MEDIUM,COLD,12.5162,76.9393,Chain Snatching reported at Koramangala 1st Cross. Market snatch.,Market snatch
FIR000558,Sexual Offence,2025-07-05,05:26,Chikkaballapur,Main Police Station,MEDIUM,UNDER_INVESTIGATION,13.4651,77.7693,Sexual Offence reported at Peenya Industrial Area. Eve teasing.,Eve teasing
FIR000559,Kidnapping,2025-07-06,11:09,Uttara Kannada,Main Police Station,LOW,COLD,14.7767,74.1787,Kidnapping reported at Mahalakshmi Layout. Honour related.,Honour related
FIR000560,Assault,2025-07-07,08:18,Dharwad,Hubli South,HIGH,COLD,15.503,75.0219,Assault reported at Marathahalli Bridge. Weapon attack.,Weapon attack
FIR000561,Fraud,2025-07-08,03:52,Kalaburagi,Gulbarga North,MEDIUM,UNDER_INVESTIGATION,17.3365,76.788,Fraud reported at Padmanabhanagar. Property fraud.,Property fraud
FIR000562,Murder,2025-07-09,03:35,Yadgiri,Yadgiri Town,CRITICAL,COLD,16.7462,77.1628,Murder reported at Basavanagudi. Blunt force.,Blunt force
FIR000563,Arson,2025-07-10,01:29,Kodagu,Virajpet,LOW,PENDING,12.4271,75.7335,Arson reported at Brigade Road. Forest fire.,Forest fire
FIR000564,Vehicle Theft,2025-07-11,12:56,Ballari,Ballari Town,CRITICAL,COLD,15.1043,76.8923,Vehicle Theft reported at Koramangala 1st Cross. Carjacking.,Carjacking
FIR000565,Kidnapping,2025-07-12,01:12,Koppal,Kushtagi,MEDIUM,COLD,15.3692,76.1482,Kidnapping reported at Banashankari 2nd Stage. Custodial.,Custodial
FIR000566,Burglary,2025-07-13,14:01,Mysuru,Udayagiri,CRITICAL,COLD,12.2982,76.6558,Burglary reported at Rajajinagar. Rooftop entry.,Rooftop entry
FIR000567,Kidnapping,2025-07-14,07:09,Chamarajanagar,Main Police Station,HIGH,UNDER_INVESTIGATION,11.8875,76.9769,Kidnapping reported at Uttarahalli. Custodial.,Custodial
FIR000568,Domestic Violence,2025-07-15,04:41,Kalaburagi,Afzalpur,MEDIUM,COLD,17.3412,76.7883,Domestic Violence reported at Basavanagudi. Verbal abuse.,Verbal abuse
FIR000569,Vehicle Theft,2025-07-16,18:16,Gadag,Gadag Town,MEDIUM,UNDER_INVESTIGATION,15.3902,75.61,Vehicle Theft reported at Brigade Road. Key duplication.,Key duplication
FIR000570,Vehicle Theft,2025-07-17,00:12,Ballari,Hospet,LOW,COLD,15.1224,76.884,Vehicle Theft reported at Kengeri Satellite Town. Key duplication.,Key duplication
FIR000571,Fraud,2025-07-18,14:54,Ballari,Hospet,MEDIUM,COLD,15.1282,76.8958,Fraud reported at Whitefield Main Road. Online scam.,Online scam
FIR000572,Cybercrime,2025-07-19,07:26,Yadgiri,Shorapur,CRITICAL,PENDING,16.7982,77.1165,Cybercrime reported at HSR Layout Sector 3. Social engineering.,Social engineering
FIR000573,Robbery,2025-07-20,13:07,Koppal,Koppal Town,HIGH,CLOSED,15.3328,76.1267,Robbery reported at Basavanagudi. Armed robbery.,Armed robbery
FIR000574,Vehicle Theft,2025-07-21,00:34,Shivamogga,Tirthahalli,MEDIUM,UNDER_INVESTIGATION,13.892,75.6117,Vehicle Theft reported at Basavanagudi. Key duplication.,Key duplication
FIR000575,Domestic Violence,2025-07-22,01:08,Vijayapura,Vijayapura Town,HIGH,CLOSED,16.8318,75.6626,Domestic Violence reported at Dasarahalli. Physical abuse.,Physical abuse
FIR000576,Drug Offence,2025-07-23,00:40,Kodagu,Madikeri,MEDIUM,COLD,12.3933,75.6964,Drug Offence reported at RT Nagar. Transportation.,Transportation
FIR000577,Vehicle Theft,2025-07-24,19:33,Ballari,Sandur,HIGH,COLD,15.1419,76.8823,Vehicle Theft reported at Padmanabhanagar. Towing.,Towing
FIR000578,Drug Offence,2025-07-25,04:01,Gadag,Gadag Town,HIGH,PENDING,15.4339,75.6212,Drug Offence reported at Brigade Road. Online sale.,Online sale
FIR000579,Criminal Trespass,2025-07-26,23:26,Vijayanagara,Kampli,HIGH,CLOSED,15.2648,76.6494,Criminal Trespass reported at Electronic City Phase 1. Illegal occupation.,Illegal occupation
FIR000580,Criminal Trespass,2025-07-27,10:55,Bengaluru Urban,Jayanagar,HIGH,PENDING,12.963,77.6047,Criminal Trespass reported at Koramangala 1st Cross. Boundary violation.,Boundary violation
FIR000581,Cybercrime,2025-07-28,00:51,Vijayanagara,Kampli,CRITICAL,PENDING,15.2599,76.6499,Cybercrime reported at Jayanagar 4th Block. Social engineering.,Social engineering
FIR000582,Domestic Violence,2025-07-29,05:06,Chikkamagaluru,Mudigere,MEDIUM,COLD,13.2676,75.7657,Domestic Violence reported at Basavanagudi. Physical abuse.,Physical abuse
FIR000583,Vehicle Theft,2025-06-30,19:47,Vijayanagara,Hospet,CRITICAL,CLOSED,15.2835,76.5952,Vehicle Theft reported at Kumaraswamy Layout. Valet theft.,Valet theft
FIR000584,Pickpocketing,2025-07-01,13:09,Bengaluru Urban,Banashankari,CRITICAL,PENDING,12.9963,77.6275,Pickpocketing reported at BTM Layout Stage 2. Cut pocket.,Cut pocket
FIR000585,Pickpocketing,2025-07-02,12:19,Haveri,Byadgi,MEDIUM,PENDING,14.7979,75.3496,Pickpocketing reported at Yelahanka New Town. Distraction theft.,Distraction theft
FIR000586,Kidnapping,2025-07-03,09:53,Chikkamagaluru,Narasimharajapura,MEDIUM,PENDING,13.3404,75.8122,Kidnapping reported at Subramanyapura. Honour related.,Honour related
FIR000587,Chain Snatching,2025-07-04,12:21,Yadgiri,Yadgiri Town,CRITICAL,PENDING,16.8054,77.1246,Chain Snatching reported at Sadashivanagar. Pedestrian snatch.,Pedestrian snatch
FIR000588,Murder,2025-07-05,13:55,Mysuru,Kuvempunagar,MEDIUM,CLOSED,12.3224,76.6033,Murder reported at Yelahanka New Town. Firearm.,Firearm
FIR000589,Criminal Trespass,2025-07-06,23:25,Vijayapura,Indi,CRITICAL,UNDER_INVESTIGATION,16.8184,75.6807,Criminal Trespass reported at Banashankari 2nd Stage. Temple trespass.,Temple trespass
FIR000590,Vehicle Theft,2025-07-07,22:59,Hassan,Hassan Town,CRITICAL,COLD,13.0403,76.0658,Vehicle Theft reported at Dasarahalli. Carjacking.,Carjacking
FIR000591,Robbery,2025-07-08,08:50,Uttara Kannada,Main Police Station,LOW,PENDING,14.7674,74.1246,Robbery reported at Kumaraswamy Layout. Home invasion.,Home invasion
FIR000592,Fraud,2025-07-09,13:13,Hassan,Sakleshpur,CRITICAL,CLOSED,12.9785,76.0652,Fraud reported at Jayanagar 4th Block. Insurance fraud.,Insurance fraud
FIR000593,Burglary,2025-07-10,19:44,Gadag,Naragund,HIGH,PENDING,15.4621,75.6332,Burglary reported at Uttarahalli. Lock picking.,Lock picking
FIR000594,Kidnapping,2025-07-11,14:01,Chitradurga,Hosadurga,MEDIUM,UNDER_INVESTIGATION,14.2568,76.4387,Kidnapping reported at Peenya Industrial Area. Honour related.,Honour related
FIR000595,Pickpocketing,2025-07-12,23:41,Ramanagara,Ramanagara Town,CRITICAL,CLOSED,12.6895,77.2927,Pickpocketing reported at Vijayanagar Town. Crowd pick.,Crowd pick
FIR000596,Kidnapping,2025-07-13,22:26,Mandya,Nagamangala,MEDIUM,COLD,12.5332,76.8842,Kidnapping reported at Vijayanagar Town. Political.,Political
FIR000597,Burglary,2025-07-14,13:24,Mysuru,Udayagiri,HIGH,COLD,12.2755,76.6331,Burglary reported at Marathahalli Bridge. Window break.,Window break
FIR000598,Robbery,2025-07-15,14:28,Tumakuru,Madhugiri,MEDIUM,UNDER_INVESTIGATION,13.3079,77.1068,Robbery reported at Rajajinagar. Home invasion.,Home invasion
FIR000599,Fraud,2025-07-16,00:20,Kolar,Malur,CRITICAL,CLOSED,13.1811,78.1522,"Fraud reported at 12th Main, Indiranagar. Identity theft.",Identity theft
FIR000600,Burglary,2025-07-17,19:55,Mysuru,Vijayanagar,LOW,UNDER_INVESTIGATION,12.3049,76.6551,Burglary reported at Koramangala 1st Cross. Lock picking.,Lock picking
FIR000601,Kidnapping,2025-07-18,20:07,Raichur,Raichur Town,HIGH,CLOSED,16.2422,77.3436,Kidnapping reported at Whitefield Main Road. Political.,Political
FIR000602,Burglary,2025-07-19,23:35,Yadgiri,Shorapur,CRITICAL,UNDER_INVESTIGATION,16.7761,77.1037,Burglary reported at Sadashivanagar. Window break.,Window break
FIR000603,Murder,2025-07-20,18:55,Uttara Kannada,Main Police Station,CRITICAL,CLOSED,14.7822,74.1317,Murder reported at Vijayanagar Town. Sharp weapon.,Sharp weapon
FIR000604,Sexual Offence,2025-07-21,06:31,Haveri,Byadgi,MEDIUM,COLD,14.7478,75.3791,Sexual Offence reported at Padmanabhanagar. Eve teasing.,Eve teasing
FIR000605,Sexual Offence,2025-07-22,19:04,Chikkaballapur,Main Police Station,CRITICAL,PENDING,13.4315,77.7777,Sexual Offence reported at MG Road. Harassment.,Harassment
FIR000606,Domestic Violence,2025-07-23,23:37,Ballari,Ballari Town,LOW,COLD,15.1126,76.9554,Domestic Violence reported at Peenya Industrial Area. Verbal abuse.,Verbal abuse
FIR000607,Sexual Offence,2025-07-24,21:16,Tumakuru,Tiptur,MEDIUM,COLD,13.3258,77.0714,Sexual Offence reported at Padmanabhanagar. Assault.,Assault
FIR000608,Murder,2025-07-25,14:50,Kalaburagi,Gulbarga North,LOW,PENDING,17.3241,76.857,Murder reported at Vijayanagar Town. Sharp weapon.,Sharp weapon
FIR000609,Murder,2025-07-26,13:08,Tumakuru,Tiptur,CRITICAL,PENDING,13.3008,77.1099,Murder reported at Malleshwaram 8th Cross. Sharp weapon.,Sharp weapon
FIR000610,Murder,2025-07-27,03:16,Hassan,Sakleshpur,MEDIUM,UNDER_INVESTIGATION,12.9659,76.0953,Murder reported at Vijayanagar Town. Strangulation.,Strangulation
FIR000611,Fraud,2025-07-28,00:29,Koppal,Koppal Town,HIGH,UNDER_INVESTIGATION,15.3934,76.1914,Fraud reported at Vijayanagar Town. Credit card fraud.,Credit card fraud
FIR000612,Vehicle Theft,2025-07-29,09:43,Ballari,Kampli,MEDIUM,UNDER_INVESTIGATION,15.1636,76.8821,Vehicle Theft reported at Brigade Road. Towing.,Towing
FIR000613,Assault,2025-06-30,16:03,Chitradurga,Molakalmuru,CRITICAL,CLOSED,14.2651,76.44,Assault reported at Subramanyapura. Strangulation.,Strangulation
FIR000614,Pickpocketing,2025-07-01,05:19,Mysuru,Nazarbad,HIGH,COLD,12.2481,76.6694,Pickpocketing reported at Uttarahalli. Cut pocket.,Cut pocket
FIR000615,Vehicle Theft,2025-07-02,12:04,Koppal,Yelburga,HIGH,CLOSED,15.3935,76.1563,Vehicle Theft reported at Mahalakshmi Layout. Towing.,Towing
FIR000616,Assault,2025-07-03,21:00,Ballari,Ballari Town,MEDIUM,UNDER_INVESTIGATION,15.1653,76.8729,Assault reported at Whitefield Main Road. Road rage.,Road rage
FIR000617,Pickpocketing,2025-07-04,17:33,Chikkaballapur,Main Police Station,LOW,UNDER_INVESTIGATION,13.4012,77.7515,Pickpocketing reported at Koramangala 1st Cross. Cut pocket.,Cut pocket
FIR000618,Vehicle Theft,2025-07-05,11:40,Ballari,Sandur,CRITICAL,COLD,15.1278,76.9265,Vehicle Theft reported at Peenya Industrial Area. Lock breaking.,Lock breaking
FIR000619,Arson,2025-07-06,00:10,Shivamogga,Sagara,HIGH,CLOSED,13.938,75.6116,Arson reported at RT Nagar. Industrial arson.,Industrial arson
FIR000620,Vehicle Theft,2025-07-07,07:39,Ballari,Kampli,MEDIUM,CLOSED,15.1311,76.9684,"Vehicle Theft reported at 12th Main, Indiranagar. Valet theft.",Valet theft
FIR000621,Murder,2025-07-08,00:30,Chikkamagaluru,Chikkamagaluru Town,LOW,PENDING,13.316,75.8095,Murder reported at Electronic City Phase 1. Strangulation.,Strangulation
FIR000622,Arson,2025-07-09,08:00,Dakshina Kannada,Puttur,CRITICAL,CLOSED,12.9076,74.8465,Arson reported at Koramangala 1st Cross. Industrial arson.,Industrial arson
FIR000623,Sexual Offence,2025-07-10,06:11,Mandya,Mandya Town,LOW,CLOSED,12.5388,76.8995,Sexual Offence reported at Yelahanka New Town. Workplace harassment.,Workplace harassment
FIR000624,Arson,2025-07-11,01:34,Vijayapura,Indi,HIGH,CLOSED,16.8297,75.7439,Arson reported at HSR Layout Sector 3. Forest fire.,Forest fire
FIR000625,Criminal Trespass,2025-07-12,08:32,Mysuru,Krishnaraja,MEDIUM,PENDING,12.3041,76.6277,Criminal Trespass reported at Hebbal Ring Road. Illegal occupation.,Illegal occupation
FIR000626,Burglary,2025-07-13,14:19,Mysuru,Krishnaraja,LOW,UNDER_INVESTIGATION,12.2557,76.6825,"Burglary reported at 12th Main, Indiranagar. Window break.",Window break
FIR000627,Cybercrime,2025-07-14,07:34,Vijayanagara,Kampli,MEDIUM,PENDING,15.2423,76.5841,Cybercrime reported at Malleshwaram 8th Cross. Malware attack.,Malware attack
FIR000628,Murder,2025-07-15,03:05,Raichur,Sindhnur,MEDIUM,PENDING,16.2375,77.3075,Murder reported at Whitefield Main Road. Poisoning.,Poisoning
FIR000629,Arson,2025-07-16,18:15,Dharwad,Kalghatgi,HIGH,UNDER_INVESTIGATION,15.4576,75.0177,Arson reported at Yelahanka New Town. Property arson.,Property arson
FIR000630,Pickpocketing,2025-07-17,03:36,Kodagu,Somwarpet,MEDIUM,COLD,12.4352,75.7467,Pickpocketing reported at Kengeri Satellite Town. Cut pocket.,Cut pocket
FIR000631,Vehicle Theft,2025-07-18,03:04,Hassan,Sakleshpur,CRITICAL,PENDING,12.9905,76.0541,"Vehicle Theft reported at 12th Main, Indiranagar. Carjacking.",Carjacking
FIR000632,Murder,2025-07-19,15:23,Vijayanagara,Hospet,MEDIUM,UNDER_INVESTIGATION,15.239,76.5692,Murder reported at Banashankari 2nd Stage. Firearm.,Firearm
FIR000633,Pickpocketing,2025-07-20,08:44,Yadgiri,Shorapur,MEDIUM,CLOSED,16.7834,77.1811,Pickpocketing reported at Uttarahalli. Crowd pick.,Crowd pick
FIR000634,Criminal Trespass,2025-07-21,17:48,Davanagere,Davanagere Town,CRITICAL,UNDER_INVESTIGATION,14.4602,75.8759,Criminal Trespass reported at HSR Layout Sector 3. Illegal occupation.,Illegal occupation
FIR000635,Domestic Violence,2025-07-22,07:04,Kodagu,Madikeri,CRITICAL,CLOSED,12.4617,75.758,Domestic Violence reported at Peenya Industrial Area. Marital rape.,Marital rape
FIR000636,Chain Snatching,2025-07-23,23:47,Ramanagara,Ramanagara Town,MEDIUM,PENDING,12.7644,77.2905,Chain Snatching reported at Rajajinagar. Market snatch.,Market snatch
FIR000637,Assault,2025-07-24,15:24,Chikkaballapur,Main Police Station,HIGH,COLD,13.4078,77.7238,Assault reported at MG Road. Confrontation.,Confrontation
FIR000638,Drug Offence,2025-07-25,06:28,Kalaburagi,Chincholi,CRITICAL,CLOSED,17.3474,76.8094,Drug Offence reported at Kengeri Satellite Town. Manufacturing.,Manufacturing
FIR000639,Domestic Violence,2025-07-26,14:25,Belagavi,Tilakwadi,MEDIUM,UNDER_INVESTIGATION,15.8116,74.5047,Domestic Violence reported at HSR Layout Sector 3. Dowry harassment.,Dowry harassment
FIR000640,Fraud,2025-07-27,01:17,Dakshina Kannada,Sullia,MEDIUM,COLD,12.8948,74.8724,Fraud reported at RT Nagar. Credit card fraud.,Credit card fraud
FIR000641,Burglary,2025-07-28,12:08,Bidar,Bhalki,LOW,UNDER_INVESTIGATION,17.8952,77.5151,Burglary reported at Banashankari 2nd Stage. Window break.,Window break
FIR000642,Vehicle Theft,2025-07-29,16:13,Shivamogga,Tirthahalli,LOW,CLOSED,13.9707,75.608,Vehicle Theft reported at Jayanagar 4th Block. Carjacking.,Carjacking
FIR000643,Chain Snatching,2025-06-30,10:53,Dakshina Kannada,Puttur,LOW,COLD,12.901,74.8187,Chain Snatching reported at Peenya Industrial Area. Market snatch.,Market snatch
FIR000644,Criminal Trespass,2025-07-01,16:26,Bidar,Basavakalyan,LOW,COLD,17.8919,77.5163,Criminal Trespass reported at RT Nagar. Temple trespass.,Temple trespass
FIR000645,Sexual Offence,2025-07-30,14:48,Dharwad,Hubli South,HIGH,PENDING,15.4597,74.9936,Sexual Offence reported at Marathahalli Bridge. Harassment.,Harassment
FIR000646,Domestic Violence,2025-07-31,15:13,Hassan,Sakleshpur,HIGH,CLOSED,12.9839,76.1297,Domestic Violence reported at Marathahalli Bridge. Elder abuse.,Elder abuse
FIR000647,Vehicle Theft,2025-08-01,06:39,Ballari,Ballari Town,HIGH,PENDING,15.1429,76.9558,Vehicle Theft reported at Malleshwaram 8th Cross. Valet theft.,Valet theft
FIR000648,Domestic Violence,2025-08-02,19:51,Haveri,Byadgi,LOW,UNDER_INVESTIGATION,14.7464,75.3551,Domestic Violence reported at Uttarahalli. Dowry harassment.,Dowry harassment
FIR000649,Drug Offence,2025-08-03,16:50,Shivamogga,Sagara,MEDIUM,COLD,13.9559,75.5709,Drug Offence reported at Rajajinagar. Smuggling.,Smuggling
FIR000650,Burglary,2025-08-04,05:30,Mysuru,Kuvempunagar,MEDIUM,COLD,12.3124,76.6046,Burglary reported at Kumaraswamy Layout. Window break.,Window break
FIR000651,Burglary,2025-08-05,23:58,Vijayapura,Indi,CRITICAL,PENDING,16.8619,75.6702,Burglary reported at Subramanyapura. Lock picking.,Lock picking
FIR000652,Burglary,2025-08-06,10:18,Mysuru,Kuvempunagar,CRITICAL,COLD,12.2775,76.6041,Burglary reported at Uttarahalli. Disguised entry.,Disguised entry
FIR000653,Burglary,2025-08-07,10:21,Mysuru,Udayagiri,MEDIUM,CLOSED,12.2864,76.5971,Burglary reported at HSR Layout Sector 3. Lock picking.,Lock picking
FIR000654,Fraud,2025-08-08,05:48,Bengaluru Rural,Hoskote,LOW,CLOSED,13.121,77.6302,Fraud reported at Hebbal Ring Road. Insurance fraud.,Insurance fraud
FIR000655,Sexual Offence,2025-08-09,21:16,Hassan,Hassan Town,CRITICAL,UNDER_INVESTIGATION,13.029,76.1116,Sexual Offence reported at Vijayanagar Town. Assault.,Assault
FIR000656,Domestic Violence,2025-08-10,19:29,Chamarajanagar,Main Police Station,CRITICAL,COLD,11.8765,76.9627,Domestic Violence reported at Kengeri Satellite Town. Marital rape.,Marital rape
FIR000657,Pickpocketing,2025-08-11,16:27,Mysuru,Nazarbad,HIGH,UNDER_INVESTIGATION,12.3434,76.6117,Pickpocketing reported at RT Nagar. Cut pocket.,Cut pocket
FIR000658,Burglary,2025-08-12,07:07,Mysuru,Vijayanagar,HIGH,UNDER_INVESTIGATION,12.3261,76.5948,Burglary reported at Brigade Road. Lock picking.,Lock picking
FIR000659,Vehicle Theft,2025-08-13,16:27,Chikkamagaluru,Chikkamagaluru Town,MEDIUM,CLOSED,13.3349,75.7739,Vehicle Theft reported at Dasarahalli. Valet theft.,Valet theft
FIR000660,Fraud,2025-08-14,12:17,Chikkaballapur,Main Police Station,CRITICAL,COLD,13.4421,77.765,Fraud reported at Banashankari 2nd Stage. Insurance fraud.,Insurance fraud
FIR000661,Burglary,2025-08-15,13:15,Mysuru,Nazarbad,CRITICAL,CLOSED,12.2593,76.6641,Burglary reported at Marathahalli Bridge. Rooftop entry.,Rooftop entry
FIR000662,Fraud,2025-08-16,07:33,Tumakuru,Madhugiri,HIGH,COLD,13.3245,77.1116,Fraud reported at MG Road. Credit card fraud.,Credit card fraud
FIR000663,Burglary,2025-08-17,05:44,Mysuru,Nazarbad,MEDIUM,CLOSED,12.2581,76.5914,Burglary reported at Vijayanagar 2nd Stage. Window break.,Window break
FIR000664,Cybercrime,2025-08-18,06:35,Kolar,Kolar Town,LOW,CLOSED,13.1502,78.1627,Cybercrime reported at Vijayanagar Town. Credential theft.,Credential theft
FIR000665,Domestic Violence,2025-08-19,17:37,Udupi,Udupi Town,HIGH,CLOSED,13.2994,74.7388,Domestic Violence reported at Sadashivanagar. Physical abuse.,Physical abuse
FIR000666,Cybercrime,2025-08-20,16:41,Dharwad,Hubli North,LOW,CLOSED,15.4248,74.985,Cybercrime reported at Sadashivanagar. Malware attack.,Malware attack
FIR000667,Murder,2025-08-21,22:02,Ballari,Sandur,MEDIUM,COLD,15.1566,76.9611,"Murder reported at 12th Main, Indiranagar. Strangulation.",Strangulation
FIR000668,Robbery,2025-08-22,12:56,Chikkaballapur,Main Police Station,MEDIUM,COLD,13.4557,77.7383,Robbery reported at HSR Layout Sector 3. Chain snatching.,Chain snatching
FIR000669,Burglary,2025-08-23,17:13,Dharwad,Dharwad Town,HIGH,CLOSED,15.4774,75.0382,Burglary reported at Banashankari 2nd Stage. Rooftop entry.,Rooftop entry
FIR000670,Arson,2025-08-24,09:27,Koppal,Gangavati,MEDIUM,CLOSED,15.362,76.1564,Arson reported at Malleshwaram 8th Cross. Property arson.,Property arson
FIR000671,Vehicle Theft,2025-08-25,12:32,Ballari,Hospet,LOW,CLOSED,15.1724,76.9518,Vehicle Theft reported at Jayanagar 4th Block. Towing.,Towing
FIR000672,Burglary,2025-08-26,06:42,Raichur,Raichur Town,LOW,CLOSED,16.2528,77.3499,"Burglary reported at 12th Main, Indiranagar. Rooftop entry.",Rooftop entry
FIR000673,Vehicle Theft,2025-08-27,19:57,Gadag,Gadag Town,CRITICAL,CLOSED,15.3864,75.626,Vehicle Theft reported at Koramangala 1st Cross. Key duplication.,Key duplication
FIR000674,Murder,2025-08-28,07:27,Raichur,Manvi,CRITICAL,UNDER_INVESTIGATION,16.2478,77.3632,Murder reported at Jayanagar 4th Block. Strangulation.,Strangulation
FIR000675,Murder,2025-07-30,01:13,Hassan,Hassan Town,LOW,PENDING,13.0089,76.1095,Murder reported at Sadashivanagar. Poisoning.,Poisoning
FIR000676,Domestic Violence,2025-07-31,19:28,Bengaluru Rural,Devanahalli,MEDIUM,COLD,13.0837,77.634,Domestic Violence reported at Uttarahalli. Elder abuse.,Elder abuse
FIR000677,Chain Snatching,2025-08-01,18:42,Haveri,Byadgi,CRITICAL,CLOSED,14.811,75.4027,Chain Snatching reported at Hebbal Ring Road. Roadside snatch.,Roadside snatch
FIR000678,Assault,2025-08-02,07:14,Vijayapura,Sindagi,MEDIUM,COLD,16.8675,75.725,Assault reported at Hebbal Ring Road. Weapon attack.,Weapon attack
FIR000679,Arson,2025-08-03,12:00,Mysuru,Udayagiri,CRITICAL,COLD,12.2928,76.6187,Arson reported at Kengeri Satellite Town. Forest fire.,Forest fire
FIR000680,Vehicle Theft,2025-08-04,15:02,Kolar,Bangarpet,HIGH,CLOSED,13.1444,78.1262,Vehicle Theft reported at Kumaraswamy Layout. Carjacking.,Carjacking
FIR000681,Criminal Trespass,2025-08-05,21:13,Bengaluru Rural,Devanahalli,MEDIUM,COLD,13.1245,77.6162,Criminal Trespass reported at Subramanyapura. Boundary violation.,Boundary violation
FIR000682,Robbery,2025-08-06,18:53,Mysuru,Udayagiri,MEDIUM,UNDER_INVESTIGATION,12.3192,76.5905,Robbery reported at Sadashivanagar. Chain snatching.,Chain snatching
FIR000683,Criminal Trespass,2025-08-07,11:32,Tumakuru,Kunigal,MEDIUM,PENDING,13.3331,77.1101,Criminal Trespass reported at Banashankari 2nd Stage. Boundary violation.,Boundary violation
FIR000684,Vehicle Theft,2025-08-08,00:37,Bidar,Humnabad,MEDIUM,UNDER_INVESTIGATION,17.888,77.5388,Vehicle Theft reported at Brigade Road. Valet theft.,Valet theft
FIR000685,Vehicle Theft,2025-08-09,00:49,Ballari,Hospet,CRITICAL,COLD,15.1,76.939,Vehicle Theft reported at Brigade Road. Lock breaking.,Lock breaking
FIR000686,Vehicle Theft,2025-08-10,17:53,Ballari,Kampli,HIGH,CLOSED,15.1841,76.911,Vehicle Theft reported at BTM Layout Stage 2. Lock breaking.,Lock breaking
FIR000687,Assault,2025-08-11,21:34,Mysuru,Nazarbad,CRITICAL,COLD,12.298,76.5942,Assault reported at Marathahalli Bridge. Confrontation.,Confrontation
FIR000688,Arson,2025-08-12,09:06,Gadag,Naragund,HIGH,COLD,15.3766,75.6133,Arson reported at Banashankari 2nd Stage. Vehicle arson.,Vehicle arson
FIR000689,Chain Snatching,2025-08-13,19:48,Bengaluru Urban,Yeshwanthpur,MEDIUM,PENDING,13.0167,77.5448,Chain Snatching reported at Subramanyapura. Roadside snatch.,Roadside snatch
FIR000690,Criminal Trespass,2025-08-14,16:57,Dakshina Kannada,Mangaluru South,CRITICAL,CLOSED,12.8883,74.8915,Criminal Trespass reported at Padmanabhanagar. Temple trespass.,Temple trespass
FIR000691,Robbery,2025-08-15,15:59,Chitradurga,Molakalmuru,MEDIUM,PENDING,14.182,76.4003,Robbery reported at RT Nagar. Armed robbery.,Armed robbery
FIR000692,Sexual Offence,2025-08-16,02:49,Davanagere,Honnali,HIGH,PENDING,14.4784,75.888,Sexual Offence reported at Padmanabhanagar. Assault.,Assault
FIR000693,Murder,2025-08-17,09:24,Ramanagara,Magadi,HIGH,CLOSED,12.6884,77.3329,Murder reported at JP Nagar 6th Phase. Blunt force.,Blunt force
FIR000694,Drug Offence,2025-08-18,02:48,Bengaluru Urban,Whitefield,CRITICAL,CLOSED,12.9452,77.6017,Drug Offence reported at HSR Layout Sector 3. Manufacturing.,Manufacturing
FIR000695,Cybercrime,2025-08-19,11:58,Dharwad,Dharwad Town,MEDIUM,CLOSED,15.4597,74.9761,"Cybercrime reported at 12th Main, Indiranagar. Malware attack.",Malware attack
FIR000696,Criminal Trespass,2025-08-20,04:41,Ballari,Ballari Town,MEDIUM,COLD,15.1011,76.9101,Criminal Trespass reported at Koramangala 1st Cross. Boundary violation.,Boundary violation
FIR000697,Sexual Offence,2025-08-21,14:31,Bidar,Bhalki,LOW,PENDING,17.9526,77.5704,Sexual Offence reported at JP Nagar 6th Phase. Eve teasing.,Eve teasing
FIR000698,Cybercrime,2025-08-22,03:33,Chikkamagaluru,Kadur,MEDIUM,CLOSED,13.2917,75.8037,Cybercrime reported at Hebbal Ring Road. Phishing link.,Phishing link
FIR000699,Arson,2025-08-23,17:53,Ballari,Kampli,HIGH,PENDING,15.1074,76.9015,Arson reported at Rajajinagar. Forest fire.,Forest fire
FIR000700,Arson,2025-08-24,16:42,Vijayapura,Vijayapura Town,HIGH,CLOSED,16.8189,75.6603,Arson reported at Vijayanagar Town. Industrial arson.,Industrial arson
FIR000701,Sexual Offence,2025-08-25,02:26,Ballari,Sandur,MEDIUM,UNDER_INVESTIGATION,15.1893,76.9294,Sexual Offence reported at Malleshwaram 8th Cross. Stalking.,Stalking
FIR000702,Robbery,2025-08-26,11:37,Chamarajanagar,Main Police Station,LOW,UNDER_INVESTIGATION,11.9689,76.9283,Robbery reported at Marathahalli Bridge. Home invasion.,Home invasion
